,fileslug,id,sf_abstract,tags,title,link
0,S17-473_high-affinity-small-molecule-probes,241051,The chloride channel (CLC) family is a class of membrane proteins that regulates the flux of chloride ions across cell membranes. These ion channels play ...,,"High-affinity, small-molecule probes for the CLC-2 chloride ion channel",[]
1,S18-258_device-and-method-for-preventing-or,241050,"Stanford researchers have prototyped a simple, pulsating cast insert that delivers localized pressure to manage post-traumatic swelling about the ankle and foot, especially swelling due ...",,Device and Method for Preventing or Reducing Swelling About the Ankle,[]
2,S17-289_silicon-sealing-for-high,241044,Stanford researchers at the Yi Cui Lab have demonstrated a dual-functional silicon sealing on silicon hollow structures which greatly improves the mechanical stability of the ...,,Silicon sealing for high performance battery anode materials,['https://pubs.acs.org/doi/10.1021/acs.nanolett.8b030']
3,S18-298_compact-optical-sensor-device-to,241043,"A team of interdisciplinary researchers at Stanford have developed a small, lightweight optical strain sensor device to sensitively measure forces within the mitral valve apparatus ...",Mitral valve; ,"Compact, optical sensor device to measure forces on mitral valve structures prior to surgical repair or replacement",['https://www.ahajournals.org/doi/abs/10.1161/circ.138.suppl_1.17300?af']
4,S05-241_gait-interventions-to-lower-the,241041,"Osteoarthritis, the most common form of arthritis, is a degenerative joint disease in which mechanical factors play a very important role. Knee osteoarthritis in particular ...",,Gait interventions to lower the knee adduction moment,[]
5,S16-284_factors-to-maintain-the-stemness-of,241040,"Researchers at Stanford and their collaborators have identified Royalactin and its human homologue as novel factors that can promote ground-state, pluripotency in embryonic stem cells ...",Embryonic stem cell; ,Factors to maintain the stemness of embryonic stem cells,"['https://www.nature.com/articles/s41467-018-06256', 'http://med.stanford.edu/news/all-news/2018/12/honeybee-protein-keeps-stem-cells-youthful.ht']"
6,S14-319_iterative-minimization-procedure,241030,Stanford researchers have developed an algorithm to achieve uniform excitation and image uniformity in the presence of a non-uniform transmit field while limiting local power ...,,Iterative Minimization Procedure with Uncompressed Local SAR Estimate (IMPULSE): A Generalized and Scalable Framework for Joint Design of pTx RF Pulses,[]
7,S16-072_fat-based-registration-of-dynamic,241029,"Stanford researchers have developed an improved method to correct deformable motion in dyanamically ehanced images of the breast. The approach uses fat-only images, which are ...",,Fat-based registration of dynamic water images,[]
8,S18-145_ph-sensitive-self-assembling,241028,"Stanford researchers have developed a pH smart, amphiphilic cyclopeptide-dye probe, CH-RGD, useful for NIR-II imaging and cancer therapy. This small molecule self-assembled nanoparticle adjusts its ...",,"pH-sensitive, self-assembling cyclopeptide-dyes (CH-RGD) nanoparticles for NIR-II imaging and cancer therapy",[]
9,S15-442_adaptive-evaluation-of-level-set,240990,"Stanford researchers have developed a novel approach, Adaptive evaluation of Level Set Parameters (ALSP) for level set segmentation. This invention is a segmentation improvement for ...",,Adaptive evaluation of Level Set Parameters for Level Set Segmentation,"['https://arxiv.org/abs/1606.037', 'http://ieeexplore.ieee.org/document/774239']"
10,S17-074_efficient-flexible-scarless-genome,240984,"Researchers in Prof. Matthew Porteus’ laboratory have developed a fast, efficient scarless gene editing method that can insert, delete or mutate up to several thousand ...",,"Efficient, flexible scarless genome editing in pluripotent cells",['https://www.nature.com/articles/s41592-018-0212']
11,S17-116_li-ion-battery-cell-level,240983,"Stanford researchers have developed a simple, efficient and holistic method to solve the problem of volumetric expansion at the cell level in lithium ion batteries. ...",,Li-ion Battery Cell-Level Interlocking and Expansion Control,['http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PG01&s1=%22Multifunctional+Energy+Storage%22&OS=%22Multifunctional+Energy+Storage%22&RS=%22Multifunctional+Energy+Storage%']
12,S14-447_drug-imprinted-hydrogel-for,240973,"A team of Stanford researchers has developed a precisely controlled hydrogel drug delivery system that prevents scarring and promotes wound healing in large, full thickness ...",Wound healing; ,Drug-imprinted hydrogel for controlled-release wound healing therapy with FAK inhibitors,['https://doi.org/10.1016/j.jid.2018.04.0']
13,S18-419_a-biomimetic-electronic-skin-e-skin,240972,Researchers in Professor Zhenan Bao’s group at Stanford University have developed a biomimetic soft electronic skin (e-skin) with multiple levels of biologically inspired patterning that ...,,A biomimetic electronic skin (e-skin) with discriminating forces,"['http://robotics.sciencemag.org/content/3/24/eaau69', 'https://news.stanford.edu/2018/11/21/stanford-develops-electronic-glove-gives-robots-sense-touc']"
14,S17-501_smash-cars-a-drug-off-chemogenetic,240967,"Background  Researchers in Prof. Crystal Mackall’s laboratory at Stanford University are focused on translational research related to cancer immunotherapy, including basic T-cell function and tumor ...",,"SMASh_CARs: A ""drug off"" chemogenetic system for regulating CAR T-cell therapy",[]
15,S17-038_a-method-for-personalized-brain,240963,Stanford researchers have developed a new diagnostic and treatment development framework that focuses on understanding causality in the brain circuits of individual patients as a ...,Neurostimulation; ,A method for personalized brain network neurostimulation treatment,[]
16,S17-394_artist,240960,Researchers in Prof. Amit Etkin’s lab have created the first automated method for artifact rejection in simultaneously acquired transcranial magnetic stimulation (TMS) and electroencephalography (EEG) ...,,Artist,[]
17,S18-053_identification-of-predictors-of,240959,"Researchers in Prof. Amit Etkin’s laboratory have developed machine learning based methodology to predict differential response to the antidepressant sertraline versus placebo, drawing on data ...",,Identification of predictors of antidepressant treatment using an emotional conflict task,[]
18,S18-116_multi-bit-per-cell-resistance,240958,Researchers in the Robust Systems Group at Stanford University developed a method for dividing the available resistance window in a multi-bit per cell Resistive RAM ...,,"Multi-bit per cell Resistance Distribution Control for Fast, Efficient Read and Program for Resistive RAM",['https://ieeexplore.ieee.org/document/85440']
19,S18-124_programming-algorithm-for-fast,240957,Stanford researchers in the Robust Systems Group at Stanford University developed a programming algorithm for 3-bit per cell Resistive RAM at the array level that ...,,"Programming Algorithm for Fast, Accurate and Energy-Efficient ReRAM",[]
20,S18-403_use-of-machine-learning-on,240956,"Researchers in Prof. Amit Etkin’s laboratory have developed machine learning based methodology to predict differential response to the antidepressant sertraline versus placebo, drawing on data ...",Machine learning; Electroencephalography; ,Use of machine learning on electroencephalography data to predict outcome with antidepressant treatment versus placebo in depression,[]
21,S18-408_method-to-treat-inflammatory-bowel,240955,"Researchers at Stanford have developed a method using a monoclonal antibody to treat inflammatory bowel disease (IBD), including Crohn’s disease and colitis.  IBD is an ...",Inflammatory bowel disease; ,Method to Treat Inflammatory Bowel Disease,[]
22,S14-468_an-algorithm-for-maximum-sar,240949,"Magnetic resonance (MR) thermometry is a fast and noninvasive method for performing the necessary temperature mapping. Typically, the heating apparatus (RF or microwave applicator) and ...",,An Algorithm for Maximum-SAR Targeted Hyperthermia,['https://patents.google.com/patent/US20160334477A1/en?oq=14%2f7114']
23,S18-391_engineered-t-regulatory-cells-to,240935,Researchers in Prof. Everett Meyer’s laboratory have developed a system to protect T regulatory (Treg) cells from immunosuppressive agents when they are used in adoptive ...,,Engineered T regulatory cells to promote expansion and improve function in cellular immunotherapy,[]
24,S16-108_an-18f-pet-nirf-smart-probe-for,240929,"Researchers at Stanford have developed a dual modality, 18F positron emission tomography (PET)/near-infrared fluorescence (NIRF) imaging probe to identify, grade and visualize astrocytic gliomas.  Treatment ...",,"An 18F PET/NIRF Smart Probe for Identifying, Grading, and Visualizing Astrocytic Gliomas",[]
25,S06-511B_peptides-to-prevent,240921,This technology is a set of short oligopeptides and formulations to inhibit tyrosinase and treat or ameliorate skin pigmentation disorders involving excess production of melanin. ...,,Peptides to prevent hyperpigmentation,['https://doi.org/10.1038/jid.2009.1']
26,S15-122_layered-electroactive-polymers-for,240920,Engineers in Prof. Mark Cutkosky’s laboratory have developed patented electrostrictive elements that can support high loads over a long lifetime when used as variable suspension ...,Electroactive polymers; ,"Layered electroactive polymers for robust and reliable variable-stiffness suspensions in robotics, prosthetics and autonomous vehicles",['http://dx.doi.org/10.1109/TMECH.2016.25864']
27,S18-204_rai1-tag-an-epitope-tagged-rai1,240910,The Rai1-Tag knock-in allele expresses a FLAG/myc-tagged RAI1 (Rai1-Tag) before Cre recombinase exposure. Cre-mediated deletion of the floxed FLAG-myc-STOP sequence results in expression of RAI1/EGFP ...,,"Rai1-Tag, an epitope tagged Rai1 allele",[]
28,S02-215A_cluster-processing-and-ranking,240908,"This invention provides a method and/or system for analyzing data using population clustering through density based merging, and a method for guiding clustering strategy through ...",,Cluster Processing and Ranking Methods Including Methods Applicable to Clusters Developed Through Density Based Merging,[]
29,S18-146_unsupervised-identification,240907,"When examining one or higher dimensional data, researchers frequently aim to identify individual subsets (clusters) of objects within the dataset. With high-dimensional data (3 ...",Projection pursuit; ,"Unsupervised identification, matching, display and quantitation of subsets (clusters) by exhaustive projection pursuit methods",[]
30,S17-412_neuro-navigation-device-for,240903,Stanford researchers have developed a marker-less neuro-navigation device that only needs to be setup once during the first transcranial magnetic stimulation (TMS) session and by ...,,Neuro-navigation device for localization of internal anatomical regions,[]
31,S18-279_health-monitoring-using-big-data,240902,Researchers at Stanford have developed a test that can be used to predict diabetes risk and insulin resistance.  Dr. Michael Snyder and colleagues conducted a ...,Big data; ,Health Monitoring Using Big Data - Diabetes,[]
32,S18-036_synthetic-calpains-for-improved,240896,Researchers at Stanford University and the University of Iowa have created synthetic calpain molecules with increased proteolytic activity that can be used for meat tenderization. ...,,Synthetic calpains for improved meat tenderization,['http://molecularcasestudies.cshlp.org/content/early/2018/02/22/mcs.a0025']
33,S17-035_molecular-probes-for-multiplexed,240890,Researchers in Prof. Garry Nolan’s laboratory have developed a new class of isotopic tags that can be used to perform high resolution multiplexed ion beam ...,Molecular Probes; ,"Molecular probes for multiplexed, super-resolution imaging and single-cell level analysis of large cell populations",[]
34,S16-117_neurological-biomarker-enables,240887,Researchers in Professor Amit Etkin’s laboratory have developed a quantitative method to predict how clinically depressed patients will respond to repetitive transcranial magnetic stimulation (rTMS) ...,,Neurological Biomarker Enables Personalized rTMS Depression Therapy,[]
