,fileslug,id,sf_abstract,tags,title,link
0,S18-403_use-of-machine-learning-on,240956,"Researchers in Prof. Amit Etkin’s laboratory have developed machine learning based methodology to predict differential response to the antidepressant sertraline versus placebo, drawing on data ...",Machine learning; Electroencephalography; ,Use of machine learning on electroencephalography data to predict outcome with antidepressant treatment versus placebo in depression,[]
1,S16-144_neuroprotective-treatment-for,240841,"Disease indication  - Neurodegenerative diseases [including Alzheimer’s disease, Parkinson’s disease, Amyotrophic Lateral Sclerosis (ALS), multiple sclerosis (MS), Huntington’s Disease] and neuronal injury (including spinal cord ...",Neurodegeneration; Astrocyte; ,"Neuroprotective treatment for neurodegenerative disease, neuroinflammation and neuronal injury by targeting reactive astrocytes","['https://doi.org/10.1038/nature210', 'https://med.stanford.edu/news/all-news/2017/01/toxic-brain-cells-may-drive-many-neurodegenerative-disorders.ht', 'https://doi.org/10.1016/j.immuni.2017.06.0', 'https://doi.org/10.1038/s41591-018-0051']"
2,S14-419_pet-probe-for-imaging-parp-1,63426,Stanford researchers have synthesized a novel tracer for positron emission tomography (PET) imaging of PARP-1 activity in living subjects.  PARP-1 is inactive until DNA damage ...,Positron emission tomography; PARP1; DNA; Enzyme inhibitor; Biochemistry; Radiation therapy; Endogeny; Tumor; Clinical trial; Autoradiograph; Immunofluorescence; Chemotherapy; Radionuclide; ,PET Probe For Imaging PARP-1 Activity In Live Subjects,"['https://patents.google.com/patent/US20160185805A1/en?oq=14%2f974%2c4', 'http://jnm.snmjournals.org/content/56/supplement_3/2.sho']"
3,S10-421_heat-shock-protein-peptides-to,62994,Disease indication  – inflammatory or ischemic disease including: • Multiple Sclerosis • Neuromyelitis Optica • Heart attack • Stroke   Drug format  – peptide   Research stage ...,Protein; Peptide; Multiple sclerosis; Heat shock protein; Chaperone (protein); Protein folding; Neuromyelitis optica; Stroke; Rheumatoid arthritis; Experimental autoimmune encephalomyelitis; ,Heat shock protein peptides to treat inflammatory or ischemic disease,"['http://dx.doi.org/10.1074/jbc.M112.3712', 'http://dx.doi.org/10.1073/pnas.11073681', 'http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220130071392%22.PGNR.&OS=DN/20130071392&RS=DN/201300713']"
4,S10-447_dual-isotope-positron-emitting,63000,Stanford researchers have developed a method which can simultaneously observe two positron emitting isotopes using two distinct molecular probes and a modified PET scanner.  This ...,Positron; Molecular Probes; Positron emission tomography; Antibody; Antigen; Cancer staging; Fluorine-18; Breast cancer classification; Assay; ,Dual-isotope positron emitting tomography for disease evaluation,[]
5,S11-314_adjustable-amplifier-and-time-based,63080,A team of Stanford engineers have developed a patented integrated circuit to amplify and digitize pulse signals from silicon photomultiplier (SiPM) and avalanche photodiode (APD) ...,Silicon photomultiplier; Positron emission tomography; Photodetector; Integrated circuit; Photomultiplier; Avalanche photodiode; Dynamic range; Data acquisition; Waveform; Input impedance; Transconductance; Current-to-voltage converter; Analog-to-digital converter; Flip-flop (electronics); Comparator; ,Adjustable Amplifier and Time-Based Digitizer with Fast Timing for SiPM- and APD-based PET Photodetectors,[]
6,S14-196_real-time-transmission-scan-free,63384,"Stanford researchers have developed a statistical method to map tissue activity distribution and photon attenuation, correcting for attenuation in real time without a transmission scan, ...",Positron emission tomography; Magnetic resonance imaging; PET/MRI; Expectation–maximization algorithm; Algorithm; Graphics processing unit; Lung; ,"Real-time, Transmission Scan-free Attenuation Correction in PET","['http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=74309', 'http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=68290']"
7,S11-394_a-method-to-extract-photon-depth-of,63094,Stanford researchers have developed a simple and cost effective method that creates high resolution reconstructed images from a PET scanner by combining the processing of ...,Positron emission tomography; Signal-to-noise ratio; Photon; Photodetector; Scattering; ,A Method to Extract Photon Depth of Interaction and Arrival Time Within a Positron Emission Tomography Detector,['http://med.stanford.edu/miil/publications/files/179_PUB.p']
8,S12-017_high-resolution-high-fill-factor,63122,Stanford Researchers have developed a method for a high-resolution photon imaging device with high fill factor (the ratio of the area of the active imaging ...,Solar cell; Pixel; Photomultiplier; Silicon photomultiplier; LIDAR; Positron emission tomography; Integrated circuit; Single-photon emission computed tomography; X-ray computed tomography; Confocal microscopy; Flow cytometry; ,"High Resolution, High Fill Factor Photon Imaging",['http://statweb.stanford.edu/~candes/papers/GroupTesting.p']
9,S04-235A_semiconductor-crystal-high,62520,Stanford researchers have patented a novel concept for a position sensitive high-energy photon sensor device for high resolution radiation imaging that can enhance capabilities of ...,Photon; Positron emission tomography; Semiconductor detector; Scintillator; Electrode; Semiconductor; Photodetector; Three-dimensional space; Signal processing; Full width at half maximum; Electronvolt; Single-photon emission computed tomography; Magnetic resonance imaging; X-ray computed tomography; Cadmium; Medical imaging; Bayesian inference; Cadmium zinc telluride; ,Semiconductor Crystal High Resolution Imager,"['http://www.ncbi.nlm.nih.gov/pubmed/176459', 'http://www.iop.org/EJ/abstract/0031-9155/52/13/00', 'http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4774098&tag', 'http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4774418&tag', 'http://medicalphysicsweb.org/cws/article/journals/400', 'http://iopscience.iop.org/0031-9155/55/9/0']"
