,fileslug,id,sf_abstract,tags,title,link
0,S18-403_use-of-machine-learning-on,240956,"Researchers in Prof. Amit Etkin’s laboratory have developed machine learning based methodology to predict differential response to the antidepressant sertraline versus placebo, drawing on data ...",Machine learning; Electroencephalography; ,Use of machine learning on electroencephalography data to predict outcome with antidepressant treatment versus placebo in depression,[]
1,S17-516_rapid-acting-personalized-and,240597,"Stanford researchers have developed a highly effective and rapid-acting robust repetitive transcranial magnetic stimulation (TMS) approach to modulating neural networks (SAINT®). So far, by targeting ...",Transcranial magnetic stimulation; ,Rapid-Acting Personalized and Targeted Neuromodulation Approach,[]
2,S16-144_neuroprotective-treatment-for,240841,"Disease indication  - Neurodegenerative diseases [including Alzheimer’s disease, Parkinson’s disease, Amyotrophic Lateral Sclerosis (ALS), multiple sclerosis (MS), Huntington’s Disease] and neuronal injury (including spinal cord ...",Neurodegeneration; Astrocyte; ,"Neuroprotective treatment for neurodegenerative disease, neuroinflammation and neuronal injury by targeting reactive astrocytes","['https://doi.org/10.1038/nature210', 'https://med.stanford.edu/news/all-news/2017/01/toxic-brain-cells-may-drive-many-neurodegenerative-disorders.ht', 'https://doi.org/10.1016/j.immuni.2017.06.0', 'https://doi.org/10.1038/s41591-018-0051']"
3,S14-419_pet-probe-for-imaging-parp-1,63426,Stanford researchers have synthesized a novel tracer for positron emission tomography (PET) imaging of PARP-1 activity in living subjects.  PARP-1 is inactive until DNA damage ...,Positron emission tomography; PARP1; DNA; Enzyme inhibitor; Biochemistry; Radiation therapy; Endogeny; Tumor; Clinical trial; Autoradiograph; Immunofluorescence; Chemotherapy; Radionuclide; ,PET Probe For Imaging PARP-1 Activity In Live Subjects,"['https://patents.google.com/patent/US20160185805A1/en?oq=14%2f974%2c4', 'http://jnm.snmjournals.org/content/56/supplement_3/2.sho']"
4,S05-134_brain-derived-neurotrophic-factor,240763,Stanford researchers have found that Brain-derived neurotrophic factor (BDNF) promotes the in vitro development of oocytes and zygotes into preimplantation embryos. The Stanford researchers performed ...,Brain-derived neurotrophic factor; Oocyte; ,Brain-derived neurotrophic factor (BDNF) promotes oocyte maturation,['http://www.ncbi.nlm.nih.gov/pubmed/159679']
5,S10-447_dual-isotope-positron-emitting,63000,Stanford researchers have developed a method which can simultaneously observe two positron emitting isotopes using two distinct molecular probes and a modified PET scanner.  This ...,Positron; Molecular Probes; Positron emission tomography; Antibody; Antigen; Cancer staging; Fluorine-18; Breast cancer classification; Assay; ,Dual-isotope positron emitting tomography for disease evaluation,[]
6,S11-314_adjustable-amplifier-and-time-based,63080,A team of Stanford engineers have developed a patented integrated circuit to amplify and digitize pulse signals from silicon photomultiplier (SiPM) and avalanche photodiode (APD) ...,Silicon photomultiplier; Positron emission tomography; Photodetector; Integrated circuit; Photomultiplier; Avalanche photodiode; Dynamic range; Data acquisition; Waveform; Input impedance; Transconductance; Current-to-voltage converter; Analog-to-digital converter; Flip-flop (electronics); Comparator; ,Adjustable Amplifier and Time-Based Digitizer with Fast Timing for SiPM- and APD-based PET Photodetectors,[]
7,S14-196_real-time-transmission-scan-free,63384,"Stanford researchers have developed a statistical method to map tissue activity distribution and photon attenuation, correcting for attenuation in real time without a transmission scan, ...",Positron emission tomography; Magnetic resonance imaging; PET/MRI; Expectation–maximization algorithm; Algorithm; Graphics processing unit; Lung; ,"Real-time, Transmission Scan-free Attenuation Correction in PET","['http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=74309', 'http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=68290']"
8,S11-394_a-method-to-extract-photon-depth-of,63094,Stanford researchers have developed a simple and cost effective method that creates high resolution reconstructed images from a PET scanner by combining the processing of ...,Positron emission tomography; Signal-to-noise ratio; Photon; Photodetector; Scattering; ,A Method to Extract Photon Depth of Interaction and Arrival Time Within a Positron Emission Tomography Detector,['http://med.stanford.edu/miil/publications/files/179_PUB.p']
9,S12-017_high-resolution-high-fill-factor,63122,Stanford Researchers have developed a method for a high-resolution photon imaging device with high fill factor (the ratio of the area of the active imaging ...,Solar cell; Pixel; Photomultiplier; Silicon photomultiplier; LIDAR; Positron emission tomography; Integrated circuit; Single-photon emission computed tomography; X-ray computed tomography; Confocal microscopy; Flow cytometry; ,"High Resolution, High Fill Factor Photon Imaging",['http://statweb.stanford.edu/~candes/papers/GroupTesting.p']
